marker_category,cell_type,pearson_r,pearson_p,spearman_r,spearman_p
Immune,Cluster_16_Neurons,-0.043166915231233935,0.047411009856068366,-0.043683225908967276,0.04481933267234923
Immune,Cluster_19_Neurons,-0.05476122867243861,0.011874912887844584,-0.07631636683892337,0.0004504507276904879
Immune,Cluster_20_Neurons,-0.054403298641174616,0.012441386157682399,-0.0741348684155951,0.0006543177592950042
Immune,Cluster_22_Neurons,-0.07019691613453452,0.0012529376169789783,-0.08421741144240635,0.00010746223341044263
Immune,Cluster_30_Neurons,-0.01588313894519394,0.46587844071281975,-0.01878656559845608,0.38840105701118205
Immune,Cluster_32_Immune,-0.01588313894519394,0.46587844071281975,-0.01878656559845608,0.38840105701118205
Immune,Cluster_35_Immune,0.8144474785003434,0.0,0.7649639416042295,0.0
Immune,Cluster_41_Astrocytes,,,,
Immune,Cluster_44_Astrocytes,,,,
Immune,Cluster_46_Vascular,,,,
Immune,Cluster_47_Ependymal,,,,
Immune,Cluster_48_Neurons,,,,
Immune,Cluster_49_Neurons,,,,
Immune,Cluster_52_Neurons,,,,
Immune,Cluster_54_Neurons,0.10196124067256288,2.6919816387019166e-06,0.11693374757648625,7.179254621516177e-08
Immune,Cluster_58_Neurons,0.05099274182613131,0.01915636314603409,0.09241339298753849,2.1227734974999486e-05
Immune,Cluster_61_Neurons,,,,
Immune,Cluster_62_Neurons,,,,
Immune,Cluster_69_Vascular,0.2089136442633091,3.0774881191403093e-22,0.1646584603503257,2.7184523880885418e-14
Immune,Cluster_70_Vascular,0.21006172761438832,1.8012509844663994e-22,0.15308778775919385,1.5539324176195991e-12
Immune,Cluster_73_Blood,0.22130029867320036,8.052433047310962e-25,0.16859275404241258,6.4134977234814635e-15
Vascular,Cluster_1_Oligos,0.10233456356864687,2.4735727551100485e-06,0.06888178437349764,0.0015457609877767237
Vascular,Cluster_10_Neurons,0.11469983809950424,1.2706562601795008e-07,0.08124352101100288,0.00018707095685036458
Vascular,Cluster_14_Oligos,,,,
Vascular,Cluster_14_Vascular,,,,
Vascular,Cluster_14_Immune,,,,
Vascular,Cluster_16_Neurons,-0.019615567507580742,0.36780708236175835,-0.05306606660418432,0.0147749422308903
Vascular,Cluster_19_Neurons,-0.06494341486766884,0.0028400337449808514,-0.08922383680199038,4.0565941654219845e-05
Vascular,Cluster_20_Neurons,-0.06786462528316864,0.0018140887517786033,-0.09843918487670308,5.89544930339331e-06
Vascular,Cluster_22_Neurons,-0.07212700378159444,0.0009148248758150453,-0.12372412533696356,1.1855815507199043e-08
Vascular,Cluster_30_Neurons,-0.017042387481055556,0.4339616137537426,-0.025630102591121848,0.2392722842124788
Vascular,Cluster_32_Immune,-0.017042387481055556,0.4339616137537426,-0.025630102591121848,0.2392722842124788
Vascular,Cluster_35_Immune,0.15740089603599136,3.5617019409111517e-13,0.1050721709007916,1.3181575826779127e-06
Vascular,Cluster_41_Astrocytes,,,,
Vascular,Cluster_44_Astrocytes,,,,
Vascular,Cluster_46_Vascular,,,,
Vascular,Cluster_47_Ependymal,,,,
Vascular,Cluster_48_Neurons,,,,
Vascular,Cluster_49_Neurons,,,,
Vascular,Cluster_52_Neurons,,,,
Vascular,Cluster_54_Neurons,0.0010239908676876984,0.9625061422915111,0.010548711176414927,0.6281881584277328
Vascular,Cluster_58_Neurons,0.005016232419902166,0.8178709212513895,0.006129698330676457,0.7784021840793361
Vascular,Cluster_61_Neurons,,,,
Vascular,Cluster_62_Neurons,,,,
Vascular,Cluster_69_Vascular,0.7901706967640644,0.0,0.6237808486689217,7.164765164010842e-228
Vascular,Cluster_70_Vascular,0.7952129158204682,0.0,0.6334836479728077,4.1238028033346477e-237
Vascular,Cluster_73_Blood,0.7926035872689791,0.0,0.6330638618583212,1.05174417271397e-236
Ependymal,Cluster_1_Oligos,0.16837184269794334,6.961720358722158e-15,0.23854199771468196,1.1010211703389712e-28
Ependymal,Cluster_10_Neurons,0.1746208650165937,6.553967095470769e-16,0.24652118621951447,1.3973403141402257e-30
Ependymal,Cluster_14_Oligos,,,,
Ependymal,Cluster_14_Vascular,,,,
Ependymal,Cluster_14_Immune,,,,
Ependymal,Cluster_16_Neurons,-0.01214279861745402,0.5772088934393411,-0.02297937584403796,0.291395423253788
Ependymal,Cluster_19_Neurons,-0.013386251804459352,0.53884724828375,-0.021088408968770293,0.33293243855192955
Ependymal,Cluster_20_Neurons,-0.015053999292433595,0.48948329618939324,-0.017942443721469564,0.4100763170296854
Ependymal,Cluster_22_Neurons,-0.03227052566237249,0.13838137962146088,-0.04078167550977137,0.06107327379459175
Ependymal,Cluster_30_Neurons,-0.007494553663827308,0.7308002790169913,-0.01136738446571626,0.6017641560060164
Ependymal,Cluster_32_Immune,-0.007494553663827308,0.7308002790169913,-0.01136738446571626,0.6017641560060164
Ependymal,Cluster_35_Immune,0.10733769472555223,7.736885720187974e-07,0.12830211433643196,3.3290438376171003e-09
Ependymal,Cluster_41_Astrocytes,,,,
Ependymal,Cluster_44_Astrocytes,,,,
