spot_id,tau,lambda,n_celltypes,rmse
364,0.15,5,26,20.516098838820263
365,0.15,5,26,5.0556167728444175
366,0.15,5,26,6.815458086118157
367,0.15,5,26,8.91808531275669
368,0.15,5,26,16.884378443730093
369,0.15,5,26,15.542169284720314
370,0.15,5,26,16.201111033055966
371,0.15,5,26,3.3720067588997917
372,0.15,5,26,15.054730961796274
373,0.15,5,26,7.816979852508654
374,0.15,5,26,5.505540826014545
375,0.15,5,26,5.809632774198579
376,0.15,5,26,10.255024759804323
377,0.15,5,26,4.940858727551368
378,0.15,5,26,6.286832544232724
379,0.15,5,26,7.041939906854559
380,0.15,5,26,6.163454163751768
381,0.15,5,26,19.963275084781394
382,0.15,5,26,5.349084598335516
383,0.15,5,26,6.133873498912852
384,0.15,5,26,7.760675882173876
385,0.15,5,26,24.8464591741034
386,0.15,5,26,7.549990937188232
387,0.15,5,26,5.633631033603798
388,0.15,5,26,5.019270646312107
389,0.15,5,26,6.72203372574616
390,0.15,5,26,2.270701440744604
391,0.15,5,26,11.40504181234341
392,0.15,5,26,21.836108695284484
393,0.15,5,26,12.708248666950603
394,0.15,5,26,11.298045823585314
395,0.15,5,26,18.91326122568165
396,0.15,5,26,21.748739020818785
397,0.15,5,26,20.25679953084193
398,0.15,5,26,16.503735533624578
399,0.15,5,26,7.563428022726191
400,0.15,5,26,6.450063899090936
401,0.15,5,26,8.780285253460521
402,0.15,5,26,8.80811186862503
403,0.15,5,26,6.181081263747218
404,0.15,5,26,7.213872273526443
405,0.15,5,26,18.878716033546173
406,0.15,5,26,6.54072395934951
407,0.15,5,26,10.314514509232986
408,0.15,5,26,11.068854964370818
409,0.15,5,26,5.945594779917787
410,0.15,5,26,8.400461122478927
411,0.15,5,26,10.25328051288082
412,0.15,5,26,15.311956981270194
413,0.15,5,26,11.47418078141447
414,0.15,5,26,7.725537736024486
415,0.15,5,26,5.315763951318356
416,0.15,5,26,18.130365167649334
417,0.15,5,26,5.388575466664462
418,0.15,5,26,15.166309468821542
419,0.15,5,24,5.058179758021175
420,0.15,5,26,8.339010904511234
421,0.15,5,26,5.559554279992577
422,0.15,5,26,9.689921478787578
423,0.15,5,26,9.911462543345744
424,0.15,5,26,4.468978468784917
425,0.15,5,26,6.266935346114066
426,0.15,5,26,6.79318961944105
427,0.15,5,26,6.426860642135132
428,0.15,5,26,8.016348588434385
429,0.15,5,26,11.592327279605234
430,0.15,5,26,16.306738245571317
431,0.15,5,26,11.227095792874831
432,0.15,5,26,6.084457473017831
433,0.15,5,26,9.433740342358043
434,0.15,5,26,12.149763739486405
435,0.15,5,26,9.795908345455299
436,0.15,5,25,5.663487285847926
437,0.15,5,26,13.228482944062007
438,0.15,5,26,12.084379868593404
439,0.15,5,26,16.428583668200325
440,0.15,5,26,12.109228271687718
441,0.15,5,26,9.44903690204929
442,0.15,5,26,6.428494117230943
443,0.15,5,26,12.200746158657532
444,0.15,5,26,9.498978504267603
445,0.15,5,26,7.158748728340539
446,0.15,5,26,9.596383053179691
447,0.15,5,26,7.796677819427771
448,0.15,5,26,7.383800928061108
449,0.15,5,26,9.35346356801268
450,0.15,5,26,20.625079318562964
451,0.15,5,26,5.473602800306229
452,0.15,5,26,17.658007100756837
453,0.15,5,26,15.139357759258921
454,0.15,5,26,4.5647974938999285
455,0.15,5,26,14.873898826410633
456,0.15,5,26,15.201633625441529
457,0.15,5,26,16.25588354802298
458,0.15,5,26,8.177727312393195
459,0.15,5,26,7.195983987484556
460,0.15,5,26,13.004547993732743
461,0.15,5,26,3.2182926098373885
462,0.15,5,26,20.992479677585845
463,0.15,5,26,5.127737790691602
464,0.15,5,26,21.710482513892796
465,0.15,5,26,5.005917439367012
466,0.15,5,26,9.518475690675574
467,0.15,5,26,20.39161929111002
468,0.15,5,26,6.268693491332427
469,0.15,5,26,9.121247678931883
470,0.15,5,26,12.944718800863269
471,0.15,5,26,7.565463542989288
472,0.15,5,26,6.28312673200855
473,0.15,5,26,5.561545555134155
474,0.15,5,26,6.273714436512909
475,0.15,5,26,7.598934757431907
476,0.15,5,26,7.058426690244159
477,0.15,5,26,6.873371078013547
478,0.15,5,26,5.488239369093747
479,0.15,5,26,22.365878377667194
480,0.15,5,26,20.83569208913378
481,0.15,5,26,16.886105309322236
482,0.15,5,26,6.057108423626383
483,0.15,5,26,5.820208847563661
484,0.15,5,26,8.629260307455406
485,0.15,5,26,4.939868901350408
486,0.15,5,26,11.20967014861003
487,0.15,5,25,6.2331426288968474
488,0.15,5,26,23.74803009000076
489,0.15,5,26,7.647637263404524
490,0.15,5,26,5.095275643483496
491,0.15,5,26,7.915528252627737
492,0.15,5,26,11.95759688200668
493,0.15,5,26,16.95228807953629
494,0.15,5,26,19.72251694405944
495,0.15,5,26,11.284292690053427
496,0.15,5,26,6.977514744515747
497,0.15,5,26,5.845624665447168
498,0.15,5,26,8.892804121849341
499,0.15,5,26,7.531715883723496
500,0.15,5,26,8.556716043738243
501,0.15,5,26,7.725054300249813
502,0.15,5,26,9.570561200049926
503,0.15,5,26,28.862827988448895
504,0.15,5,26,6.741213697788567
505,0.15,5,26,5.1710139599195655
506,0.15,5,26,11.378771734786046
507,0.15,5,26,10.751504539648412
508,0.15,5,26,6.96152446655918
509,0.15,5,26,5.717382439759664
510,0.15,5,26,13.650863829048951
511,0.15,5,26,8.728245407148094
512,0.15,5,26,7.427216206286391
513,0.15,5,26,15.083461413539421
514,0.15,5,26,11.25611388677025
515,0.15,5,26,7.212408856182781
516,0.15,5,26,5.2280402954107155
517,0.15,5,26,7.188273745853898
518,0.15,5,26,9.591861371090546
519,0.15,5,26,17.40939339899287
520,0.15,5,26,6.780863414655439
521,0.15,5,26,5.58052520219183
522,0.15,5,26,9.024445499553186
523,0.15,5,26,7.901229070930224
524,0.15,5,26,16.07367417526715
525,0.15,5,26,17.520181453221088
526,0.15,5,26,11.009189986066854
527,0.15,5,26,20.427365165472562
528,0.15,5,26,9.103551799253772
529,0.15,5,26,16.461216956914733
530,0.15,5,26,13.080986965641356
531,0.15,5,26,6.483668293968622
532,0.15,5,26,11.084133175377348
533,0.15,5,26,6.716563834317998
534,0.15,5,26,9.945413471756982
535,0.15,5,26,8.139931768026718
536,0.15,5,26,10.440052799424663
537,0.15,5,26,12.030516889945847
538,0.15,5,26,4.551525307804999
539,0.15,5,26,15.476399172721312
540,0.15,5,26,12.893168126714237
541,0.15,5,26,10.278899019045184
542,0.15,5,26,6.587425792733503
543,0.15,5,26,13.113126939358315
544,0.15,5,26,9.371550551360805
545,0.15,5,26,7.347134664079701
546,0.15,5,26,5.822624029603003
547,0.15,5,26,6.756598003433325
548,0.15,5,26,12.352342108350728
549,0.15,5,26,10.817067198633989
550,0.15,5,26,9.427268764903353
551,0.15,5,26,6.063763211552668
552,0.15,5,26,4.844123630808085
553,0.15,5,26,6.73600797970448
554,0.15,5,26,7.242235991858718
555,0.15,5,26,6.688333439157549
556,0.15,5,26,18.740530510608423
557,0.15,5,26,6.703064934317163
558,0.15,5,26,7.227158689457975
559,0.15,5,25,5.018092806879156
560,0.15,5,26,5.1299139088544745
561,0.15,5,26,9.952569070746142
562,0.15,5,26,16.25292657078964
563,0.15,5,26,7.864969025657525
564,0.15,5,26,16.25137194413471
565,0.15,5,26,8.67820744107585
566,0.15,5,26,5.249016876955269
567,0.15,5,26,21.301290709837506
568,0.15,5,26,18.12496881222358
569,0.15,5,26,6.962060524652704
570,0.15,5,26,7.226646955446707
571,0.15,5,26,5.72342905324386
572,0.15,5,26,6.112412023813598
573,0.15,5,26,13.633603858491046
574,0.15,5,26,7.001893842118087
575,0.15,5,26,6.980084122811107
576,0.15,5,26,16.427809887552794
577,0.15,5,26,4.303926456486749
578,0.15,5,26,6.931346010585659
579,0.15,5,26,17.62389610394411
580,0.15,5,26,9.189532350797183
581,0.15,5,26,20.00184018627723
582,0.15,5,26,9.545703996882644
583,0.15,5,26,12.683690223635097
584,0.15,5,26,17.429817734692396
585,0.15,5,26,4.383598137250937
586,0.15,5,26,8.137008493565885
587,0.15,5,26,7.78926280403941
588,0.15,5,26,10.495812878597203
589,0.15,5,26,13.035370425857371
590,0.15,5,26,8.113888620313075
591,0.15,5,26,21.957074623135888
592,0.15,5,26,13.66640205120076
593,0.15,5,26,12.06854113842341
594,0.15,5,26,8.986052969910661
595,0.15,5,26,5.428769804655885
596,0.15,5,26,14.363663754779438
597,0.15,5,26,27.49424864071983
598,0.15,5,26,8.035041826638782
599,0.15,5,26,14.320410811244555
600,0.15,5,26,6.434096158595329
601,0.15,5,26,10.762311977976168
602,0.15,5,26,9.635628247464448
603,0.15,5,26,7.782177564152075
604,0.15,5,26,5.624717027373625
605,0.15,5,26,9.177441459462601
606,0.15,5,26,20.901632001630826
607,0.15,5,26,8.671746391394942
608,0.15,5,26,6.210353605464844
609,0.15,5,26,6.607483769885712
610,0.15,5,26,11.986749309174645
611,0.15,5,26,12.524885931165894
612,0.15,5,26,9.173107746665053
613,0.15,5,26,7.264163311739311
614,0.15,5,26,5.7424854529489275
615,0.15,5,26,16.96670577964854
616,0.15,5,26,10.393987742571495
617,0.15,5,26,8.037197792916055
618,0.15,5,26,9.927020544684812
619,0.15,5,26,15.182518309941118
620,0.15,5,26,11.745162982598822
621,0.15,5,26,11.17657736342229
622,0.15,5,26,9.934712947818522
623,0.15,5,26,12.315239587934757
624,0.15,5,26,14.769913479538943
625,0.15,5,26,9.90196760792668
626,0.15,5,26,8.824391373600768
627,0.15,5,26,5.406889429097939
628,0.15,5,26,5.137015009363857
629,0.15,5,26,10.485088842475992
630,0.15,5,26,6.1569934730184475
631,0.15,5,26,11.063000646271673
632,0.15,5,26,14.403170021396269
633,0.15,5,26,5.761008438779101
634,0.15,5,26,5.711637789570708
635,0.15,5,26,6.013710269098686
636,0.15,5,26,16.179044033471815
637,0.15,5,25,4.21265491981289
638,0.15,5,26,6.3507229304813855
639,0.15,5,26,6.229921102032489
640,0.15,5,26,4.758487773862001
641,0.15,5,26,10.686233190592192
642,0.15,5,26,8.840338542425073
643,0.15,5,26,4.391490223099197
644,0.15,5,26,5.756885278271811
645,0.15,5,26,14.749140163593266
646,0.15,5,26,5.572192063877762
647,0.15,5,26,6.684336348719615
648,0.15,5,26,5.039760078054723
649,0.15,5,26,8.857680452768262
650,0.15,5,26,15.843851327877072
651,0.15,5,26,11.622438535980539
652,0.15,5,26,8.17558836811841
653,0.15,5,26,8.134386938410312
654,0.15,5,26,19.210824084708268
655,0.15,5,26,6.902680414728666
656,0.15,5,26,15.722880173752703
657,0.15,5,26,18.815262735408655
658,0.15,5,26,15.02615417415271
659,0.15,5,26,8.217195954945202
660,0.15,5,26,12.126543736552224
