spot_id,tau,lambda,n_celltypes,rmse
547,0.3,10,18,2.968240744493676
548,0.3,10,20,5.744514071314331
549,0.3,10,19,4.987595191611761
550,0.3,10,20,4.312847298759632
551,0.3,10,18,2.633992034743735
552,0.3,10,18,2.01168564811095
553,0.3,10,17,2.9850795758209263
554,0.3,10,20,3.2207244159240873
555,0.3,10,18,2.932794234099538
556,0.3,10,22,8.923139002161074
557,0.3,10,17,2.959200896237065
558,0.3,10,17,3.2049554685705144
559,0.3,10,17,2.1081269290144715
560,0.3,10,17,2.1771299103695196
561,0.3,10,24,4.552552257845992
562,0.3,10,24,7.6772148987176925
563,0.3,10,19,3.5421919152029004
564,0.3,10,19,7.713349255052187
565,0.3,10,19,3.927579249826047
566,0.3,10,19,2.2267295833548797
567,0.3,10,23,10.171912647017104
568,0.3,10,23,8.629310801644943
569,0.3,10,18,3.070426575787435
570,0.3,10,21,3.209527517295707
571,0.3,10,17,2.4816236274497507
572,0.3,10,20,2.641246387737299
573,0.3,10,23,6.38624579421781
574,0.3,10,19,3.1078628421531715
575,0.3,10,19,3.085817788588449
576,0.3,10,20,7.789539524283435
577,0.3,10,16,1.7738165741712535
578,0.3,10,18,3.0750388969161677
579,0.3,10,23,8.37540872859035
580,0.3,10,19,4.185590127085805
581,0.3,10,22,9.539055288768449
582,0.3,10,24,4.364234672725496
583,0.3,10,23,5.942313608989532
584,0.3,10,23,8.266987027490515
585,0.3,10,16,1.819397863977721
586,0.3,10,20,3.6656903008407737
587,0.3,10,18,3.5032488617934403
588,0.3,10,18,4.838919645524803
589,0.3,10,23,6.090930551405745
590,0.3,10,19,3.65141632278101
591,0.3,10,23,10.566079091999786
592,0.3,10,23,6.402298414693126
593,0.3,10,21,5.603911834886946
594,0.3,10,19,4.124845933302166
595,0.3,10,18,2.3233413272873715
596,0.3,10,21,6.7423776009590695
597,0.3,10,24,13.31888912180278
598,0.3,10,20,3.6072988226033704
599,0.3,10,22,6.744455446029969
600,0.3,10,19,2.7971556928372516
601,0.3,10,21,4.957577157947197
602,0.3,10,22,4.414293499841992
603,0.3,10,19,3.495078332258117
604,0.3,10,17,2.432708944177447
605,0.3,10,19,4.191109056477309
606,0.3,10,24,9.9738547382773
607,0.3,10,20,3.9333711930538438
608,0.3,10,19,2.69771578233241
609,0.3,10,20,2.8960557740131243
610,0.3,10,20,5.573870773444615
611,0.3,10,21,5.852071777737278
612,0.3,10,18,4.210638548205227
613,0.3,10,18,3.2314960138424853
614,0.3,10,18,2.4771624730814725
615,0.3,10,20,8.031219588586302
616,0.3,10,21,4.789979206434616
617,0.3,10,19,3.6289982813863553
618,0.3,10,24,4.538917577912296
619,0.3,10,22,7.156223096863209
620,0.3,10,20,5.453705714825317
621,0.3,10,23,5.159192226307807
622,0.3,10,22,4.556540855494078
623,0.3,10,20,5.747289523710464
624,0.3,10,22,6.946821378710417
625,0.3,10,22,4.561323162109431
626,0.3,10,19,4.030276992515354
627,0.3,10,17,2.30572504759691
628,0.3,10,17,2.1754039936972314
629,0.3,10,24,4.839699017864697
630,0.3,10,19,2.667359623623045
631,0.3,10,19,5.158913211333091
632,0.3,10,22,6.763331323824929
633,0.3,10,18,2.504669109631044
634,0.3,10,18,2.458757854749747
635,0.3,10,18,2.6110465714907454
636,0.3,10,24,7.63690082049155
637,0.3,10,19,1.7324922430331293
638,0.3,10,18,2.7703512012675753
639,0.3,10,18,2.724705154329845
640,0.3,10,17,1.9924138458584784
641,0.3,10,18,4.90554508478303
642,0.3,10,17,4.0194259561293135
643,0.3,10,19,1.795500596117839
644,0.3,10,19,2.508220967730547
645,0.3,10,22,6.937194332439169
646,0.3,10,19,2.3800922047157655
647,0.3,10,19,2.93854755512472
648,0.3,10,18,2.1254000716869594
649,0.3,10,18,4.025656895239232
650,0.3,10,20,7.520670072730613
651,0.3,10,21,5.389311333709645
652,0.3,10,21,3.6664173123850086
653,0.3,10,21,3.656635937512919
654,0.3,10,23,9.154023976491786
655,0.3,10,18,3.05598821100426
656,0.3,10,20,7.437678606140821
657,0.3,10,23,8.957477917951751
658,0.3,10,23,7.074553018680886
659,0.3,10,18,3.7174224251279386
660,0.3,10,22,5.671350402190853
661,0.3,10,18,3.8318928246037824
662,0.3,10,22,3.181440821333987
663,0.3,10,19,4.99943976104663
664,0.3,10,19,2.8413826934035047
665,0.3,10,19,3.792478382521188
666,0.3,10,18,3.0427868892277434
667,0.3,10,23,3.3255848177612224
668,0.3,10,19,4.17541705798772
669,0.3,10,23,7.5007320091400045
670,0.3,10,20,5.816507548493154
